feature,importance_default,importance_interpretation_style,gap_interpretation_minus_default
OilPrice,513,1480,967
MA_ratio,420,1219,799
oil_diff_lag1,385,1159,774
OilInventories,333,1063,730
VIX,286,959,673
TreasuryYield,315,941,626
IndustryProduction,174,541,367
CPE,158,481,323
OPECProduction,168,480,312
RealInterestRate,163,451,288
gfc_2008_shock,42,106,64
is_friday,17,50,33
vix_high,20,46,26
gfc_2008_regime,2,14,12
covid_2020_window,4,8,4
war_2022_window,0,2,2
MA_5_gt_MA_20,0,0,0
opec_2014_window,0,0,0
cond_opec_cut,0,0,0
