variable,mean_abs_shap,mean_shap_signed,sign_positive_ratio,rank
MA_ratio,0.13654689723803914,0.01122924555954715,0.37805146250274907,1
OilPrice,0.1365336727468754,0.002907197895771474,0.4530459643721135,2
oil_diff_lag1,0.10898225828749411,0.0010842084785670615,0.46316252474158787,3
VIX,0.10157577383498745,-0.0023394378128768303,0.4235759841653838,4
OPECProduction,0.09138759722405429,-0.006134019979241728,0.5784033428634264,5
OilInventories,0.08944572437741521,0.0018588419547806965,0.5366175500329888,6
TreasuryYield,0.08692993878969772,0.0006152418388359792,0.6555970969870244,7
RealInterestRate,0.0800803880597471,0.00019661742275303243,0.5401363536397625,8
CPE,0.07287020147349055,0.0008362507014624554,0.5506927644600835,9
gfc_2008_shock,0.05783557178546054,-0.008053211591901352,0.9832856828678249,10
IndustryProduction,0.045780659536154684,-0.00125797142378894,0.45150648779415,11
is_friday,0.02664915944887508,0.0005293969458720375,0.661535078073455,12
vix_high,0.010261643800434199,-0.00356929936576548,0.2201451506487794,13
gfc_2008_regime,0.010084483216183004,0.0020685137439616684,0.027270727952496153,14
war_2022_window,0.0016463533484991205,3.222428975213935e-05,0.004618429733890477,15
covid_2020_window,0.0015244277060462686,-3.798657729410084e-06,0.9953815702661095,16
MA_5_gt_MA_20,0.0,0.0,0.0,17
opec_2014_window,0.0,0.0,0.0,18
cond_opec_cut,0.0,0.0,0.0,19
