variable,coef,SE_HC3,p_HC3,std_beta,sig
OilPrice,-0.15822560219525061,0.14121749934607136,0.262526707891065,-0.3229398019825522,
RealInterestRate,-0.2936217726656274,0.17324878087816734,0.09011365356566702,-0.05964641825310897,*
VIX,-0.029482805353484628,0.021856473673719103,0.17736015189447063,-0.05912403117986453,
IndustryProduction,0.08299808947557598,0.060058742094167894,0.1669875098686847,0.1044932571265105,
CPE,-0.0013963091048018455,0.0007598088552142309,0.06610499944703044,-0.21941296902708216,*
OilInventories,-3.869285489795943e-06,1.2012000579877927e-05,0.7473630572811996,-0.018774086512524393,
OPECProduction,-0.00018423968051892715,0.00010434658030670045,0.07745435920294595,-0.11133559477493407,*
TreasuryYield,1.1589378765407226,1.026646180927844,0.25895769064719065,0.0671392344754007,
oil_diff_lag1,-0.06828954034581718,0.03467693512276065,0.04891781716544127,-0.1393509382453751,**
MA_ratio,-4.8744923126404425,3.343065134458649,0.1448155336985244,-0.2868801204927532,
MA_5_gt_MA_20,0.34663647805073755,0.23296086770118687,0.1367614140938874,0.1727717737633731,
vix_high,-0.21203339043791314,0.28562269561775233,0.45787237358558686,-0.06281954412246014,
is_friday,-0.10531176060344077,0.09246637891948556,0.2547367380352924,-0.042122386577924796,
gfc_2008_shock,-0.864974274825285,0.7014527248284753,0.21753158657977478,-0.11090091506058378,
gfc_2008_regime,0.49911760379607345,0.3078700271154993,0.104975647054627,0.08130083519900243,
opec_2014_window,-1.005994124601034,0.47260068707086306,0.03328451229292051,-0.06490053263529405,**
covid_2020_window,-1.4204819788706147,1.223818462201688,0.2457652881466611,-0.09632199249842897,
war_2022_window,1.6439342191420165,1.3372866649301418,0.21895718311956136,0.11147414883080949,
cond_opec_cut,-0.16982463942584522,0.0894351352473106,0.057583123269850794,-0.07331101640250046,*
